Algorithm	File	Fitness	Time(s)	Evals
IteratedLocalSearch (BL)	GKD-b_37_n125_m37	313.789	0.259085	84702.6
IteratedLocalSearch (BL)	GKD-b_38_n125_m37	330.827	0.264748	85972.8
IteratedLocalSearch (BL)	GKD-b_39_n125_m37	252.567	0.258063	87290.4
IteratedLocalSearch (BL)	GKD-b_40_n125_m37	287.508	0.251705	85183
IteratedLocalSearch (BL)	GKD-b_41_n150_m15	43.8471	0.0721987	48685.4
IteratedLocalSearch (BL)	GKD-b_42_n150_m15	44.4991	0.0737179	51918
IteratedLocalSearch (BL)	GKD-b_43_n150_m15	43.8536	0.0749037	51581
IteratedLocalSearch (BL)	GKD-b_44_n150_m15	40.3788	0.067693	48966.4
IteratedLocalSearch (BL)	GKD-b_45_n150_m15	44.1735	0.0707119	49705.8
IteratedLocalSearch (BL)	GKD-b_46_n150_m45	408.843	0.394697	96269.4
IteratedLocalSearch (BL)	GKD-b_47_n150_m45	352.298	0.40597	96972.4
IteratedLocalSearch (BL)	GKD-b_48_n150_m45	364.844	0.384391	93279.6
IteratedLocalSearch (BL)	GKD-b_49_n150_m45	419.652	0.40438	98921.8
IteratedLocalSearch (BL)	GKD-b_50_n150_m45	393.732	0.41307	98407.4
IteratedLocalSearch (BL)	MEDIA_N25	11.6852	0.00117803	1526.32
IteratedLocalSearch (BL)	MEDIA_N50	37.8551	0.0106022	8862.74
IteratedLocalSearch (BL)	MEDIA_N100	119.565	0.0834348	41337.6
IteratedLocalSearch (BL)	MEDIA_N125	161.335	0.148358	58894.3
IteratedLocalSearch (BL)	MEDIA_N150	215.612	0.236173	73470.7
IteratedLocalSearch (BL)	MEDIA_GLOBAL	109.21	0.0959493	36818.3
IteratedLocalSearch (SA)	GKD-b_1_n25_m2	0	2.41454e-05	19
IteratedLocalSearch (SA)	GKD-b_2_n25_m2	0	1.96388e-05	19
IteratedLocalSearch (SA)	GKD-b_3_n25_m2	0	1.96246e-05	19
IteratedLocalSearch (SA)	GKD-b_4_n25_m2	0	2.02642e-05	19
IteratedLocalSearch (SA)	GKD-b_5_n25_m2	0	1.66576e-05	19
IteratedLocalSearch (SA)	GKD-b_6_n25_m7	16.3141	0.0211151	6046.6
IteratedLocalSearch (SA)	GKD-b_7_n25_m7	19.9284	0.0204458	6150
IteratedLocalSearch (SA)	GKD-b_8_n25_m7	18.9171	0.0208585	5963.4
IteratedLocalSearch (SA)	GKD-b_9_n25_m7	21.8708	0.0225542	5988.2
IteratedLocalSearch (SA)	GKD-b_10_n25_m7	26.0946	0.0208762	5872.2
IteratedLocalSearch (SA)	GKD-b_11_n50_m5	7.74596	0.0244214	8126.6
IteratedLocalSearch (SA)	GKD-b_12_n50_m5	6.94818	0.0260309	8482.6
IteratedLocalSearch (SA)	GKD-b_13_n50_m5	6.38517	0.0260006	8257.4
